"Periodos","Automoviles"
"2017/07",77279
"2017/08",78019
"2017/09",71437
"2017/10",74690
"2017/11",89391
"2017/12",96819
"2018/01",65152
"2018/02",67106
"2018/03",72458
"2018/04",67422
"2018/05",69279
"2018/06",71716
"2018/07",70814
"2018/08",73272
"2018/09",69424
"2018/10",70378
"2018/11",81517
"2018/12",86494
"2019/01",68276
"2019/02",61638
"2019/03",67707
"2019/04",56396
"2019/05",61116
"2019/06",63936
"2019/07",62690
"2019/08",63082
"2019/09",58027
"2019/10",62538
"2019/11",70527
"2019/12",78468
"2020/01",62231
"2020/02",62513
"2020/03",48998
"2020/04",18772
"2020/05",22103
"2020/06",35333
